filename,newfilename,name,alias
AJ.png,,Aztec Worldwide Airlines,Aerocontracto
AK.png,AXM.png,AirAsia,
AL.png,ALD.png,Air Leisure,
AM.png,AMX.png,AeroMexico,AeroMexico
AN.png,RLA.png,HOP Airlinair,
AP.png,LAV.png,AlbaStar,
AQ.png,,9 Air,
AR.png,ARG.png,Aerolíneas Argentinas,
AS.png,ASA.png,Alaska Airlines,
AT.png,RAM.png,Royal Air Maroc,
AU.png,AUT.png,Austral Líneas Aéreas,Cielos del Sur
AV.png,AVA.png,Avianca,
AW.png,AFW.png,Africa World Airlines,
AX.png,LOF.png,Trans States Airlines,
AY.png,FIN.png,Finnair,
AZ.png,AZA.png,Alitalia,Alitalia S.A.I.
B0.png,DJT.png,La Compagnie,Dreamjet
B1.png,,Cions Software,
B2.png,BRU.png,Belavia,
B3.png,BTN.png,Bhutan Airlines,Tashi Air
B4.png,TAN.png,Zanair,
B5.png,EXZ.png,Fly-SAX,
B6.png,JBU.png,JetBlue,
B7.png,UIA.png,Uni Airways,
B8.png,ERT.png,Eritrean Airlines,
B9.png,IRB.png,Iran Air Tours,
BA.png,BAW.png,British Airways,
BB.png,SBS.png,Seaborne Airlines,
BC.png,SKY.png,Skymark Airlines,
BD.png,BYC.png,Cambodia Bayon Airlines,
BE.png,BEE.png,Flybe,Brit Europ
BF.png,FBU.png,French Bee,
BG.png,BBC.png,Biman Bangladesh Airline,
BH.png,BHA.png,Hawkair,
BI.png,RBA.png,Royal Brunei,Royalbrunei
BJ.png,LBT.png,Nouvelair,
BK.png,OKA.png,Okay Airways,Paradise Isl
BL.png,PIC.png,Jetstar Pacific Airlines,Pacific Air
BM.png,BMR.png,bmi regional,British Midland Regional Limited
BN.png,,Bahrain Air,Horizon Airli
BO.png,,BB Airways,
BP.png,BOT.png,Air Botswana,
BR.png,EVA.png,EVA Air,
BS.png,,US-Bangla Airlines,
BT.png,BTI.png,airBaltic,
BU.png,FPY.png,Compagnie Africaine d'Aviation,
BV.png,BPA.png,Blue Panorama Airlines,Blue Panorama
BW.png,BWA.png,Caribbean Airlines,
BX.png,ABL.png,Air Busan,
BY.png,TOM.png,Thomson Airways,Britannia Airways
BZ.png,BBG.png,Bluebird Airways,
C0.png,CLW.png,Centralwings,
C1.png,,Tectimes Sudamerica,
C2.png,,Ceiba Intercontinental,Ceiba
C3.png,TDR.png,Trade Air,
C4.png,,Alma De Mexico,
C5.png,UCA.png,CommutAir,Champlain Enterprises
C6.png,CJA.png,Canjet Airlines,Bright Airlines
C7.png,RLE.png,Cinnamon Air,Saffron Aviation
C8.png,CRA.png,Cronos Airlines,
C9.png,SWZ.png,Skywise,Cabolor
